GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PEPs_back-0.1,peps.peps_back.items,Interaction,102,0,12,0,33,0,22,0,16,0
PEPs_back-0.1,peps.peps_back.items,Module,100,53,12,0,26,24,15,15,9,15
PEPs_back-0.1,peps.peps_back.items,Sound,78,31,8,0,23,14,13,9,9,9
PEPs_back-0.1,peps.peps_back.items,Module.ModuleConfig,43,0,0,0,17,0,9,0,9,0
PEPs_back-0.1,peps.peps_back,JakartaRestConfiguration,3,0,0,0,1,0,1,0,1,0
PEPs_back-0.1,peps.peps_back.resources,JakartaEE8Resource,7,0,0,0,4,0,2,0,2,0
PEPs_back-0.1,peps.peps_back.controllers,InteractionController,24,20,2,0,4,7,3,2,2,2
PEPs_back-0.1,peps.peps_back.controllers,DashBoardController,29,38,5,1,6,11,4,2,1,2
PEPs_back-0.1,peps.peps_back.controllers,DashboardStats,3,33,0,0,2,14,1,7,1,7
PEPs_back-0.1,peps.peps_back.controllers,DailyDataDTO,17,9,0,0,8,4,5,1,5,1
PEPs_back-0.1,peps.peps_back.controllers,ModuleConfigDTO,0,46,0,0,0,20,0,10,0,10
PEPs_back-0.1,peps.peps_back.controllers,SoundController,327,226,37,12,76,47,28,6,2,6
PEPs_back-0.1,peps.peps_back.controllers,ModuleController,196,306,27,23,44,74,26,6,1,6
PEPs_back-0.1,peps.peps_back.controllers,DailyStatsController,51,95,9,5,7,21,6,4,1,2
PEPs_back-0.1,peps.peps_back.controllers,InteractionDTO,0,43,0,0,0,18,0,9,0,9
PEPs_back-0.1,peps.peps_back.controllers,ModuleDTO,3,63,0,0,2,26,1,13,1,13
PEPs_back-0.1,peps.peps_back.controllers,IndexController,8,0,0,0,2,0,2,0,2,0
PEPs_back-0.1,peps.peps_back.controllers,SoundDTO,54,35,2,2,19,9,13,2,11,2
PEPs_back-0.1,peps.peps_back.repositories,SoundRepositoryCustomImpl,3,0,0,0,1,0,1,0,1,0
PEPs_back-0.1,peps.peps_back.repositories,InteractionRepositoryCustomImpl,3,0,0,0,1,0,1,0,1,0
PEPs_back-0.1,peps.peps_back.repositories,ModuleRepositoryCustomImpl,3,0,0,0,1,0,1,0,1,0
